Title,Description,Ingredients,Directions,Link
Crispy Air Fryer Potato Bites,"These crispy air fryer potato bites are crispy and flavorful on the outside, tender on the inside. The grated Parmesan creates a perfect crust in the air fryer.","['1 pound red potatoes, cut into 1-inch cubes', '1 tablespoon olive oil', '1/2 teaspoon garlic powder', '1/4 teaspoon salt', '1/8 teaspoon freshly ground black pepper', '2 tablespoons grated Parmesan cheese']","['Preheat the air fryer to 400 degrees F (200 degrees C) according to manufacturer’s instructions.', 'Place cubed potatoes in a large bowl. Add olive oil and toss to coat. Add garlic powder, salt and pepper; toss again. Add grated Parmesan and toss one last time.', 'Place seasoned potatoes in the basket of the preheated air fryer. Cook for 8 minutes. Shake and cook until tender, about 4 minutes more. Serve immediately.']",https://www.allrecipes.com/crispy-air-fryer-potato-bites-recipe-8682451
Frozen Espresso Martini,"This frozen espresso martini is perfect for hot weather and as a pick-me-up after a hectic work day. After all, it’s 100 degrees and 5 o’clock somewhere!","['3 cups freshly brewed espresso', '1 cup simple syrup', '6 fluid ounces vanilla vodka', '6 fluid ounces coffee liqueur, such as Kahlúa®', '2 fluid ounces hazelnut liqueur, such as Frangelico®', 'black onyx cocoa powder, for dusting']","['Gather all ingredients.', 'Stir brewed espresso and simple syrup together in a small pitcher. Pour mixture into ice cube trays and freeze for 8 hours or overnight.', 'Pour vodka, Kahlúa, and Frangelico into a blender. Add in the espresso ice cubes, and blend until smooth.', 'Pour frozen mixture into 4 martini glasses. Lightly dust the martini with black onyx cocoa powder. Enjoy!']",https://www.allrecipes.com/frozen-espresso-martini-recipe-8686021
Ground Beef and Broccoli Stir Fry,"This ground beef and broccoli stir fry is an ideal weeknight family dinner. Convenient pre-cut broccoli florets save time, and ground beef takes the place of sliced beef for ease. The simple stir-fry sauce brings it all together.","['1 cup lower-sodium beef broth', '1/4 cup lower-sodium soy sauce', '3 tablespoons light brown sugar', '1 tablespoon cornstarch', '1 tablespoon minced fresh ginger', '2 teaspoons finely chopped garlic', '2 teaspoons rice vinegar', '3 tablespoons canola oil, divided', '2 cups thinly sliced yellow onion', '2 (8 ounce) packages fresh broccoli florets, trimmed', '1 pound 80% lean ground beef', '3/4 teaspoon kosher salt', '2 cups cooked jasmine or sticky rice, or as needed', 'thinly sliced scallions and toasted sesame seeds']","['Gather all ingredients.', 'Whisk together beef broth, soy sauce, brown sugar, cornstarch, ginger, garlic, and rice vinegar in a bowl until combined and sugar and cornstarch are dissolved; set aside.', 'Heat 2 tablespoons of the oil in a large skillet over medium-high heat until shimmering. Add onion, and cook, stirring occasionally, until softened, about 2 minutes. Add broccoli, and cook, stirring occasionally, until bright green, tender-crisp, and onion is browned, 6 to 7 minutes. Transfer to a plate. Do not wipe skillet clean.', 'Reduce the heat to medium, and add remaining 1 tablespoon oil to skillet. Add ground beef and salt, and cook, stirring often to break meat into even crumbles, until browned and cooked through, about 5 minutes.', 'Whisk broth mixture again, and pour into skillet. Cook over medium heat, stirring constantly, until sauce thickens slightly, 3 to 5 minutes. Return broccoli mixture to skillet, and cook, stirring occasionally, until sauce evenly coats meat and vegetables, 3 to 4 minutes.', 'Serve over rice, and garnish with scallions and toasted sesame seeds.']",https://www.allrecipes.com/ground-beef-and-broccoli-stir-fry-recipe-8679070
Greek-Style Grilled Lamb Chops,"These Greek-style grilled lamb chops, seasoned with a simple herb and lemon marinade, grill up grassy, sweet, and tender.","['8 cloves garlic, crushed', '6 tablespoons extra-virgin olive oil', '1/4 cup fresh lemon juice, divided, plus lemon wedges for serving', '1 tablespoon dried oregano, divided', '1 tablespoon kosher salt, divided', '1 teaspoon crushed red pepper, divided (optional)', '3/4 teaspoon freshly ground black pepper, divided', '2 pounds (1/2-inch thick) bone-in lamb rib chops or (1-inch thick) lamb loin chops, trimmed']","['Gather all ingredients.', 'Whisk together garlic cloves, 1/4 cup olive oil, 3 tablespoons lemon juice, 2 teaspoons dried oregano, 2 teaspoons salt, 1/2 teaspoon red pepper, and 1/2 teaspoon black pepper in a small bowl until combined.', 'Place lamb chops in a resealable plastic bag, and pour marinade over chops. Remove air from bag, and seal. Store in the refrigerator to marinate at least 4 hours or up to 12 hours. Remove from refrigerator, and let stand 30 minutes to warm slightly.', 'Preheat an outdoor grill to High (450 to 500 degrees F (230 to 260 degrees C)). Scrape off excess marinade from lamb chops, and discard remaining marinade in bag. Sprinkle chops evenly with 1/2 teaspoon of the salt and remaining 1/4 teaspoon black pepper.', 'Place lamb chops on oiled grates; grill, covered, turning once or twice, until browned and a thermometer inserted into thickest portion of lamb chop registers 130 degrees F (54 degrees C) for medium-rare, about 4 minutes for rib chops and about 6 minutes for loin chops, or to desired degree of doneness. Carefully turn lamb chops with tongs to sear edges, as desired. Transfer lamb chops to a platter; let rest 5 minutes.', 'While lamb chops rest, whisk together remaining 2 tablespoons oil, 1 tablespoon lemon juice, 1 teaspoon oregano, 1/2 teaspoon salt, and 1/2 teaspoon crushed red pepper, as desired, in a small bowl until combined.', 'Drizzle olive oil mixture over lamb chops, and serve immediately with lemon wedges.']",https://www.allrecipes.com/greek-style-grilled-lamb-chops-recipe-8680071
One Pan Pasta with Bacon and Peas,"One pan pasta with bacon and peas is an easy weeknight meal. Smoky bacon, sweet peas, and nutty Parmesan cheese are perfect partners for this dish. Use any type of dry pasta.","['8 ounces bacon, diced', '1/2 cup diced onion', '2 cloves garlic, minced', '2 2/3 cups chicken broth', '2/3 cup milk', '8 ounces rotini pasta', '1 cup frozen peas', '3/4 cup plain Greek yogurt', 'salt and freshly ground black pepper to taste', '1/2 cup grated Parmesan cheese, or more to taste']","['Cook bacon in a large skillet over medium heat until crispy, about 3 minutes. Transfer bacon to a plate lined with a paper towel. Remove all but about 2 tablespoons bacon grease from the skillet.', 'Add onion to the skillet, and cook until translucent and tender, 3 to 4 minutes. Add garlic and cook until fragrant, about 30 seconds.', 'Pour in chicken broth and milk, and bring to a boil. Stir in pasta, reduce heat to medium low, cover the skillet, and cook, stirring occasionally, until pasta is al dente, 13 to 15 minutes.', 'Stir in peas, and cook just until thawed. Add Greek yogurt and bacon, stir to combine, and season with salt and pepper. Sprinkle with Parmesan and serve.']",https://www.allrecipes.com/one-pan-pasta-with-bacon-and-peas-recipe-8685505
Doggie Ice Cream Cake,"This doggie ice cream cake is for when the temperatures soar. Cool down your fur babies with this dog-friendly treat. Small portions and all-natural peanut butter are key here. The peanut butter ingredient list should read peanuts and salt, and nothing more. That is it. My two Great Pyrenees, Aspen and Zorro, love this and I'm sure your fur babies will too.","['1 (32 ounce) container Greek yogurt', '1 (16 ounce) jar all-natural peanut butter', '5 ounces frozen strawberry and banana blend, finely chopped', '2 tablespoons real bacon']","['Mix yogurt and peanut butter together in a large bowl. Add chopped strawberry/banana mix and stir until evenly combined.', 'Transfer mixture to a silicone baking mold. Sprinkle bacon pieces on top. Freeze 8 hours or overnight.', ""Empty cake onto a clean work surface and cut into individual servings based on your dog's size. Treat your dog and store remaining pieces in an airtight container in the freezer up to 3 months.""]",https://www.allrecipes.com/doggie-ice-cream-cake-recipe-8685528
Zucchini Rollatini,"These zucchini rollatini are ribbons of zucchini, filled with ricotta, mozzarella, and herbs, and baked in marinara sauce, a bit like lasagna roll-ups, but without the pasta.","['2 (12 ounce) zucchinis, sliced lengthwise into 18 (1/8-inch-thick) planks', '2 tablespoons extra-virgin olive oil', '1 tablespoon kosher salt,\xa0divided', '1 cup whole milk ricotta cheese, patted dry', '1 large egg, lightly beaten', '3 tablespoons chopped fresh basil, plus more for garnish', '2 teaspoons chopped fresh oregano', '2 teaspoons grated lemon zest', '1 teaspoon freshly ground black pepper', '2 clove garlic, grated', '1 1/2 cups shredded whole milk mozzarella cheese, divided', '1/2 cup freshly grated Parmesan cheese, divided', 'cooking spray', '2 cups jarred marinara sauce\xa0(such as Rao’s®), divided']","['Gather all ingredients. Preheat the oven to 425 degrees F (220 degrees C) with racks in top third and lower third positions.', 'Toss zucchini slices with oil and 2 teaspoons salt on 2 large rimmed baking sheets; arrange in a single layer. Bake in the preheated oven until tender, about 10 minutes, rotating baking sheets from top to bottom halfway through cook time.', 'Remove from the oven, and let zucchini slices cool slightly, about 5 minutes. Reduce oven temperature to 375 degrees F (190 degrees C).', 'Meanwhile, stir together ricotta, egg, basil, oregano, lemon zest, pepper, garlic, 1 cup of the mozzarella, 1/4 cup of the Parmesan, and remaining 1 teaspoon salt in a medium bowl until combined.', 'Lightly coat a 13x9-inch baking dish with cooking spray. Spread 1 cup marinara sauce evenly in the bottom of the baking dish. Gently pat zucchini slices dry with paper towels. Spoon about 1 tablespoon plus 1 teaspoon ricotta mixture on 1 end of 1 zucchini slice; roll up, and place roll, seam-side down, into the marinara in the dish. Repeat process with remaining zucchini slices and ricotta mixture.', 'Pour remaining 1 cup marinara evenly over center of zucchini rolls, leaving roll ends exposed. Sprinkle rolls evenly with remaining 1/2 cup mozzarella and 1/4 cup Parmesan.', 'Bake in the preheated oven until bubbling, slightly browned, and zucchini is very tender, about 25 minutes. Let rest 10 minutes. Garnish with basil.']",https://www.allrecipes.com/zucchini-rollatini-recipe-8680237
Chicken Ricotta Meatballs,"These ricotta chicken meatballs are both budget friendly and a lighter alternative to the traditional beef meatball, while still being flavorful and satisfying. The roasted tomato sauce is a delicious accompaniment.","['2 teaspoons oil', '1/2 white onion, finely diced', '6 cloves garlic, minced', '1/2 teaspoon freshly ground black pepper, divided', '3/4 teaspoon salt, divided', '1/2 cup panko', '1/4 cup ricotta cheese', '1 large egg', '1/2 teaspoon Italian seasoning', '1 pound ground chicken', '15 Roma tomatoes, cut in half lengthwise', '1 onion, quartered', '2 tablespoons olive oil', '8 cloves garlic, peeled', '1/2 teaspoon salt, or to taste', '1 teaspoon Italian seasoning, or to taste', 'basil leaves, cut into thin strips, for garnish', 'shaved Parmesan, for garnish']","['Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with foil or parchment paper.', 'Heat olive oil in a skillet. Add onion and garlic, season with 1/4 teaspoon salt and 1/4 teaspoon pepper, and cook until soft and translucent, 3 to 5 minutes. Let cool to room temperature.', 'Combine panko and ricotta in a bowl and mix well. Add egg and season with remaining salt, pepper and Italian seasoning; mix to combine. Add ground chicken, and cooked onion and garlic mixture; mix gently to combine.', 'Shape into about 24 meatballs and place on the prepared baking sheet.', 'Bake meatballs in the preheated oven until no longer pink in the center and the juices run clear. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C),\xa0 about 20 minutes; remove to cool.', 'To make the sauce, preheat the oven to 425 degrees F (220 degrees C).', 'Coat the tomatoes with olive oil, then place cut side down in a single layer on a rimmed baking sheet. Add onion and garlic cloves to the baking sheet and sprinkle everything with salt.', 'Roast in the preheated oven until tomato skins begin to shrivel and tomatoes begin to release their juice, about 25 minutes.', 'Remove and let cool slightly. Carefully discard the skins.', 'Place tomatoes, onion, and garlic in a blender and blend to your preferred consistency. Stir in Italian seasoning and serve with chicken meatballs. Garnish with basil and shaved Parmesan.']",https://www.allrecipes.com/chicken-ricotta-meatballs-recipe-8683251
Air Fryer Parmesan Chicken Skewers,"These air fryer Parmesan chicken skewers are crispy on the outside, tender and juicy on the inside. Dip in ranch dressing or any sauce you like.","['1 1/4 pounds chicken breast tenders', '2 teaspoons olive oil', '1 teaspoon garlic powder', '1/2 teaspoon paprika', '1/2 teaspoon dried parsley flakes', '1/2 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '1/2 cup grated Parmesan cheese']","['Preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer’s instructions.', 'Place chicken tenders in a large bowl. Add olive oil, garlic powder, paprika, parsley flakes, salt, and pepper. Toss to coat. Add grated Parmesan cheese. Toss to coat until evenly combined.', 'Thread a tender on to each skewer and place each skewer in the basket of the air fryer in an even layer. They can touch, but should not overlap.', 'Cook for 7 minutes. Flip skewers and cook until chicken is no longer pink at the center and juices run clear, about 3 minutes more. An instant-read thermometer inserted near the center of chicken should read 165 degrees F (74 degrees C).']",https://www.allrecipes.com/air-fryer-parmesan-chicken-skewers-recipe-8685185
Grilled Chicken and Peaches,"This recipe for grilled chicken and peaches adds layers of flavor to the chicken, with a kicky rub, a sweet peachy glaze, and grilled peaches on the side. While the grill is going, grill up some fresh veggies, or try a grilled Romaine salad.","['2 pounds skinless, boneless chicken breasts, pounded to uniform 1/2-inch thickness', '2 tablespoons olive oil', '1 tablespoon chili powder', '1 tablespoon garlic powder', '1 1/2 teaspoons white sugar', '1 teaspoon salt,\xa0or to taste', '1/2 teaspoon freshly ground white pepper', '1/2 cup all fruit peach preserves', '1/4 cup hoisin sauce', '2 teaspoons grated fresh ginger', '1/2 teaspoon garlic powder', '1 teaspoon Sriracha, or to taste', '1/2 lime, zested', '1 tablespoon cooking oil, or more as needed', '4 large peaches, halved and pitted', '1/2 lime, juiced', 'lime slices for garnish (optional)']","['Pat chicken pieces dry with a paper towel, and coat all sides with olive oil. Combine chili powder, garlic powder, sugar, salt, and white pepper in a small bowl; mix well. Rub spice mixture on chicken pieces, see note.', 'Preheat an outdoor grill to medium-high, and clean the grates.', 'Meanwhile, stir peach preserves, hoisin sauce, grated ginger, garlic powder, Sriracha, and lime zest together in a small saucepan over medium heat. Heat, stirring, until the preserves are melted and ingredients are well blended, about 3 to 5 minutes. (You will use half of peach glaze during the last minutes of cooking chicken, and reserve half until ready to serve).', 'When the grill is ready, saturate a paper towel with cooking oil, and use tongs to oil the grates.', 'Grill chicken about 4 to 5 minutes per side, depending on thickness, until the internal temperature reads about 155 degrees F (68 degrees C) with an instant read thermometer. Brush chicken with peach glaze and grill 1 minute more, then turn the chicken and brush glaze on the other side. Continue grilling and turning until the chicken reaches 160 degrees F (71 degrees C). Remove to a plate and cover with foil. During rest, residual heat will raise the internal temperature to 165 degrees F (74 degrees C).', 'Meanwhile, grill peaches. Using tongs, place peach halves on the hot grates, cut side down, and grill just until there are grill marks, 1 to 2 minutes.', 'To serve, place chicken and peach halves on a serving plate and brush with reserved glaze. Squeeze half a lime over the entire dish. Garnish with additional lime slices, if desired.']",https://www.allrecipes.com/grilled-chicken-and-peaches-recipe-8682879
